year,country,luminosity
1992,brazil,4722040
1993,brazil,5522327
1994,brazil,5013507
1995,brazil,6737433
1996,brazil,6863913
1997,brazil,6718067
1998,brazil,7151059
1999,brazil,7515236.5
2000,brazil,7718124.5
2001,brazil,6814629
2002,brazil,7319839.5
2003,brazil,6391871.5
2004,brazil,6941237.5
2005,brazil,6748823.5
2006,brazil,7482593
2007,brazil,7909711
2008,brazil,8761552
2009,brazil,8614014
2010,brazil,13149764
2011,brazil,11287348
2012,brazil,12983657
2013,brazil,12410180
1992,canada,13833177
1993,canada,14106214
1994,canada,12530327
1995,canada,16581987
1996,canada,15037348
1997,canada,12328412
1998,canada,14345409.5
1999,canada,13635334
2000,canada,14316744.5
2001,canada,13461780.5
2002,canada,13298926
2003,canada,10821010
2004,canada,11535833
2005,canada,10283940
2006,canada,10006908
2007,canada,12997283
2008,canada,13766228
2009,canada,11946645
2010,canada,16835124
2011,canada,14612283
2012,canada,13609498
2013,canada,15520385
1992,china,9467602
1993,china,10337858
1994,china,11408553
1995,china,13661477
1996,china,13099616
1997,china,13096858.5
1998,china,14437616.5
1999,china,13969246.5
2000,china,15403220.5
2001,china,15988179
2002,china,17681089.5
2003,china,16080268
2004,china,19150756.5
2005,china,18389184
2006,china,20388052
2007,china,22438868.5
2008,china,25220002
2009,china,23721125
2010,china,36545168
2011,china,32718703
2012,china,34066712
2013,china,37020963
1992,france,6490385
1993,france,6502775
1994,france,7036042
1995,france,8245231
1996,france,8201273
1997,france,8175636
1998,france,8205013
1999,france,8604820.5
2000,france,8697504
2001,france,8987958.5
2002,france,8881123.5
2003,france,7971719.5
2004,france,7705039
2005,france,7791215.5
2006,france,8135524.5
2007,france,8715208.5
2008,france,9366300
2009,france,9127400
2010,france,13327448
2011,france,9902077
2012,france,10856321
2013,france,10534200
1992,germany,6788293
1993,germany,6039773
1994,germany,6687270.5
1995,germany,8244135
1996,germany,7932958
1997,germany,7346901
1998,germany,8560908.5
1999,germany,8360766.5
2000,germany,7991876.5
2001,germany,7965335
2002,germany,8393411
2003,germany,7026813.5
2004,germany,6576865.5
2005,germany,7029167
2006,germany,6894278
2007,germany,7045225.5
2008,germany,7776948
2009,germany,7938896
2010,germany,14107601
2011,germany,8916635
2012,germany,10071812
2013,germany,8989156
1992,india,7923011
1993,india,9159391
1994,india,9753423
1995,india,11809796
1996,india,12201137
1997,india,10688303
1998,india,12161638.5
1999,india,12372952
2000,india,13220612.5
2001,india,13407411
2002,india,13554061
2003,india,10547431.5
2004,india,11932736.5
2005,india,10858475.5
2006,india,11533291.5
2007,india,13330806
2008,india,15158007
2009,india,14461509
2010,india,21892570
2011,india,18633968
2012,india,20606112
2013,india,20296790
1992,indonesia,914064
1993,indonesia,1369995
1994,indonesia,1390501.5
1995,indonesia,1768047
1996,indonesia,1825001
1997,indonesia,1857284.5
1998,indonesia,1753167.5
1999,indonesia,1797487.5
2000,indonesia,1949295.5
2001,indonesia,2055586
2002,indonesia,2115361
2003,indonesia,1703331.5
2004,indonesia,1892880
2005,indonesia,1671375
2006,indonesia,1947038.5
2007,indonesia,1862837
2008,indonesia,2067898
2009,indonesia,2057209
2010,indonesia,3004668
2011,indonesia,2798443
2012,indonesia,3160622
2013,indonesia,2928289
1992,iran,3640828
1993,iran,3838469
1994,iran,3771485
1995,iran,4305928
1996,iran,4379329
1997,iran,4131060.5
1998,iran,4672727
1999,iran,4498197
2000,iran,5055744.5
2001,iran,4984915
2002,iran,5327617
2003,iran,4975835
2004,iran,5472218.5
2005,iran,5566107
2006,iran,6061784.5
2007,iran,6516479.5
2008,iran,7139600
2009,iran,6257035
2010,iran,8954731
2011,iran,7150225
2012,iran,7856323
2013,iran,7479349
1992,italy,5726705
1993,italy,5461699
1994,italy,6167695.5
1995,italy,6771339
1996,italy,6591333
1997,italy,6258048.5
1998,italy,6773942.5
1999,italy,6933578
2000,italy,7104696.5
2001,italy,7244783
2002,italy,7540930.5
2003,italy,6711422
2004,italy,6711835
2005,italy,6779129
2006,italy,6926673.5
2007,italy,7393088.5
2008,italy,7935950
2009,italy,7843808
2010,italy,10238152
2011,italy,8889162
2012,italy,9660616
2013,italy,9046581
1992,japan,6605464
1993,japan,6860922
1994,japan,7089494.5
1995,japan,7692163
1996,japan,7795393
1997,japan,7078556.5
1998,japan,7574909
1999,japan,7487717.5
2000,japan,7586918
2001,japan,7682975
2002,japan,7515723
2003,japan,6548497.5
2004,japan,6726919
2005,japan,6717468
2006,japan,6699966
2007,japan,6993640.5
2008,japan,7331920
2009,japan,7224997
2010,japan,9044887
2011,japan,7710997
2012,japan,8063265
2013,japan,8016735
1992,korea,35494
1993,korea,41715
1994,korea,43026
1995,korea,57415
1996,korea,56625
1997,korea,41903
1998,korea,48690.5
1999,korea,41939.5
2000,korea,51016.5
2001,korea,57369.5
2002,korea,47167
2003,korea,38909.5
2004,korea,44915
2005,korea,43192.5
2006,korea,41693.5
2007,korea,46945
2008,korea,43170
2009,korea,37867
2010,korea,85992
2011,korea,60322
2012,korea,72957
2013,korea,79570
1992,mexico,3500522
1993,mexico,4240114
1994,mexico,4307458
1995,mexico,5174863
1996,mexico,4896561
1997,mexico,4439967.5
1998,mexico,4930177
1999,mexico,5165676.5
2000,mexico,5533411
2001,mexico,5464992.5
2002,mexico,5481896.5
2003,mexico,4704923.5
2004,mexico,4997380.5
2005,mexico,4834148.5
2006,mexico,5007143.5
2007,mexico,5296159.5
2008,mexico,5961853
2009,mexico,5409448
2010,mexico,7831576
2011,mexico,6929636
2012,mexico,7036868
2013,mexico,6616079
1992,russia,28274667
1993,russia,28810490
1994,russia,29597575
1995,russia,28016991
1996,russia,27260394
1997,russia,26156479.5
1998,russia,28460051.5
1999,russia,24168084
2000,russia,29269019
2001,russia,27857195
2002,russia,24579830
2003,russia,23280581.5
2004,russia,25293137
2005,russia,24659942.5
2006,russia,24061163
2007,russia,27974782.5
2008,russia,28146923
2009,russia,27905977
2010,russia,43061297
2011,russia,37010583
2012,russia,37893981
2013,russia,37448149
1992,saudiarab,2768516
1993,saudiarab,2841189
1994,saudiarab,2770424
1995,saudiarab,3072910
1996,saudiarab,3049803
1997,saudiarab,2739510.5
1998,saudiarab,2792795
1999,saudiarab,2895455.5
2000,saudiarab,3173501
2001,saudiarab,3188596
2002,saudiarab,3371849.5
2003,saudiarab,3133747
2004,saudiarab,3286245
2005,saudiarab,3260852.5
2006,saudiarab,3584379.5
2007,saudiarab,3892148
2008,saudiarab,4345278
2009,saudiarab,4099633
2010,saudiarab,6221098
2011,saudiarab,5838241
2012,saudiarab,6442453
2013,saudiarab,6597048
1992,spain,3705218
1993,spain,3792292
1994,spain,4052687.5
1995,spain,4689634
1996,spain,4615281
1997,spain,4471047
1998,spain,4754065
1999,spain,4927693
2000,spain,5210143
2001,spain,5210602
2002,spain,5450290
2003,spain,4700516.5
2004,spain,4993795
2005,spain,4941311.5
2006,spain,5172723.5
2007,spain,5620392
2008,spain,5924279
2009,spain,5909339
2010,spain,7733887
2011,spain,6553748
2012,spain,6561817
2013,spain,6184932
1992,turkey,1484959
1993,turkey,2096023
1994,turkey,1958270
1995,turkey,2306944
1996,turkey,2230482
1997,turkey,1986377.5
1998,turkey,2395692.5
1999,turkey,2364763.5
2000,turkey,2941499.5
2001,turkey,2332815
2002,turkey,2711040.5
2003,turkey,2076156
2004,turkey,2567624.5
2005,turkey,2265167
2006,turkey,2476837.5
2007,turkey,3034289.5
2008,turkey,3619400
2009,turkey,2871427
2010,turkey,4887165
2011,turkey,4449387
2012,turkey,5388944
2013,turkey,5035137
1992,uk,6385337
1993,uk,6329686
1994,uk,6447181
1995,uk,6917584
1996,uk,6561697
1997,uk,6539337.5
1998,uk,6485265.5
1999,uk,6794026.5
2000,uk,6700163
2001,uk,6567753
2002,uk,6139307
2003,uk,5930624
2004,uk,5869071.5
2005,uk,5566019
2006,uk,5693204.5
2007,uk,6157661.5
2008,uk,6114055
2009,uk,6091105
2010,uk,8604536
2011,uk,6305592
2012,uk,6740901
2013,uk,6558518
1992,usa,58567002
1993,usa,61789238
1994,usa,60579390.5
1995,usa,66806796
1996,usa,67212741
1997,usa,60773320.5
1998,usa,61641867
1999,usa,65724698.5
2000,usa,71628050.5
2001,usa,65102828
2002,usa,65911927.5
2003,usa,57307458
2004,usa,58376622
2005,usa,55675503
2006,usa,56585604.5
2007,usa,62399311.5
2008,usa,67156632
2009,usa,63839473
2010,usa,84604863
2011,usa,71740388
2012,usa,70121285
2013,usa,72429916
