_20120,10459974.987266721
_20120,8573214.067463528
_20120,4468383.268995434
_20120,3430320.319506904
_20120,4599821.579067102
_20120,8293657.55794454
_20121,10086308.788411459
_20121,11462963.276086116
_20121,8508473.187541014
_20130,8471620.826730378
_20130,10548269.096738644
_20130,10871150.376799986
_20130,11348943.566680145
_20130,10228996.9870819
_20130,6614668.547156071
_20130,3856228.8186778687
_20130,5752089.048946559
_20130,8064754.478618085
_20131,11384397.167814117
_20131,13519400.406595927
_20131,10481920.126482585
_20140,9787847.755959611
_20140,11412472.086465124
_20140,12352756.196383689
_20140,12756881.064127589
_20140,10387384.776879735
_20140,8259344.737304827
_20140,7954309.277490787
_20140,8611912.777810272
_20140,10915889.037296865
_20141,12064402.166925484
_20141,9186384.426683383
_20141,11501782.895476634
_20150,11229880.58632161
_20150,13868562.593286952
_20150,12901043.686494924
_20150,12791684.864631223
_20150,10734378.166606896
_20150,8471000.827128367
_20150,7879161.027603893
_20150,8548229.977073513
_20150,9901881.177266033
_20151,11519970.51634585
_20151,13824284.666004073
_20151,12574760.72695644
_20160,10049872.266430734
_20160,10343046.926182797
_20160,11600842.95635973
_20160,11675133.765189713
_20160,11746826.175554544
_20160,9750176.466816967
_20160,6681863.107463136
_20160,8216596.507729316
_20160,10222274.176147958
_20161,13564059.115618518
_20161,11699395.987092402
_20161,10820791.066300932
_20170,12800751.556470452
_20170,15051068.214864137
_20170,14562842.074447472
_20170,15960883.6694633
_20170,14548755.43831328
_20170,12635276.791300341
_20170,9618003.15607428
_20170,12196417.01173845
_20170,14295618.119015258
_20171,17231319.40028585
_20171,15415508.183439016
_20171,13570583.915616116
_20180,13389804.385307422
_20180,15646333.503073622
_20180,15543056.653122975
_20180,17218825.015845586
_20180,13899013.411258996
_20180,8095477.124052364
_20180,9878446.533727542
_20180,13600265.992781218
_20181,15061828.422539253
_20181,16828178.422629233
_20181,14224852.425358607
_20190,13905590.355057927
_20190,14940666.644665845
_20190,16350002.462072803
_20190,16362302.192880217
