2012,brazil,2261502.015516421
2013,brazil,5174206.920452204
2014,brazil,3256963.5731739043
2015,brazil,3077578.320893181
2016,brazil,3439452.2002131892
2017,brazil,9972568.10078035
2018,brazil,9356191.004016489
2019,brazil,2537109.03553049
2012,usa,4122633.3527597366
2013,usa,5170515.975875144
2014,usa,4684052.069329363
2015,usa,4176578.8130464945
2016,usa,4086081.0473302645
2017,usa,4974503.54887853
2018,usa,3626467.5410455368
2019,usa,1729118.372805958
2012,mexico,304491.99830560444
2013,mexico,362081.1511414984
2014,mexico,283587.3800272517
2015,mexico,270494.12957779976
2016,mexico,260789.98781935632
2017,mexico,420974.9915576813
2018,mexico,308542.13901814935
2019,mexico,194182.37841337587
2012,canada,4593134.568571938
2013,canada,7650716.041858109
2014,canada,6378657.551217375
2015,canada,7255630.735068588
2016,canada,7797801.228763467
2017,canada,7143867.834411888
2018,canada,4508723.867832811
2019,canada,2745443.1869127313
2012,turkey,3394879.403666455
2013,turkey,6975495.104764699
2014,turkey,7836968.088083628
2015,turkey,4519695.089323004
2016,turkey,4804020.798226053
2017,turkey,8190916.210354009
2018,turkey,5129862.553843794
2019,turkey,1409453.7806593832
2012,spain,1048009.2602993537
2013,spain,2862370.0911392015
2014,spain,1421694.964962653
2015,spain,3032966.932053436
2016,spain,3325287.1987254336
2017,spain,3356473.5602299813
2018,spain,3844328.955515962
2019,spain,1179860.4992287855
2012,indonesia,119007.98776866241
2013,indonesia,437207.43915692443
2014,indonesia,415727.92627366644
2015,indonesia,450317.7856424704
2016,indonesia,370684.69578741293
2017,indonesia,946228.101395665
2018,indonesia,919412.667698923
2019,indonesia,516984.8234627396
2012,saudiarab,238420.62786641266
2013,saudiarab,670930.0261219064
2014,saudiarab,864593.4164353074
2015,saudiarab,764754.3978002956
2016,saudiarab,687853.7615244107
2017,saudiarab,971901.5660802939
2018,saudiarab,1359991.8556580348
2019,saudiarab,461933.5007580479
2012,russia,3387584.3595696483
2013,russia,7275026.240071637
2014,russia,12139937.39253268
2015,russia,9099034.475181507
2016,russia,18321241.06123562
2017,russia,10760740.215212753
2018,russia,5141564.6596213
2019,russia,6989887.338019286
2012,italy,2755416.0688172188
2013,italy,4192249.9738554643
2014,italy,3961499.8956542974
2015,italy,5288116.657357641
2016,italy,5806079.079248645
2017,italy,6456398.026474013
2018,italy,7295514.683569657
2019,italy,2878233.311876952
2012,germany,601058.3541672677
2013,germany,1182783.1393985418
2014,germany,937713.8454214376
2015,germany,1151136.1102384944
2016,germany,1829145.680635091
2017,germany,1040468.9760853857
2018,germany,1017474.3950188743
2019,germany,497136.7069075596
2012,france,742602.3250028581
2013,france,1697139.4616776588
2014,france,759766.4815602929
2015,france,962292.4049077523
2016,france,599879.5547757918
2017,france,761148.1663903702
2018,france,1007074.6023380549
2019,france,383247.1544683422
2012,iran,167742.4207691851
2013,iran,241141.0384683582
2014,iran,178265.77856639322
2015,iran,153460.35567936435
2016,iran,155231.5859549017
2017,iran,192598.3507492927
2018,iran,158996.8438279057
2019,iran,50583.93210279911
2012,uk,1134708.1724037682
2013,uk,1918622.1230165581
2014,uk,1386530.1452061161
2015,uk,1512958.9471392527
2016,uk,1084593.22549475
2017,uk,1697511.183099591
2018,uk,1519818.3250541573
2019,uk,608751.1257384723
